order_date,allocated_node,node_type,state,lat,lng,default_units,mechmax_units,uncap_units,mechmax_delta_units,uncap_delta_units,default_throughput,mechmax_throughput,default_tp_scaled,mechmax_tp_scaled,uncap_throughput,default_maxcap,mechmax_maxcap,uncap_maxcap,default_promise_miss_ol,mechmax_promise_miss_ol,uncap_promise_miss_ol,default_ol,mechmax_ol,uncap_ol,p_default_promise_miss_ol,p_mechmax_promise_miss_ol,p_uncap_promise_miss_ol
2022-05-15,1041,STR,VA,37.50405,-77.6051,1867,1013,922,-854,-945,108.1300813,30.60606061,11,3,0.092000092,1722,3300,999999,331,248,231,1516,807,744,0.218337731,0.307311029,0.310483871
2022-05-15,1052,STR,MI,42.865307,-85.68572,1156,1058,1016,-98,-140,137.3563218,40.03802281,14,4,0.101100101,870,2630,999999,285,357,367,1005,885,852,0.28358209,0.403389831,0.430751174
2022-05-15,1063,STR,IN,40.008541,-86.128331,735,1089,1141,354,406,199.6422182,61.12359551,20,6,0.113200113,559,1780,999999,136,513,522,646,938,965,0.210526316,0.546908316,0.540932642
2022-05-15,1074,STR,FL,25.971644,-80.140965,953,747,730,-206,-223,111.5023474,38.59375,11,4,0.072400072,852,1920,999999,553,516,508,781,635,621,0.708066581,0.812598425,0.818035427
2022-05-15,1085,STR,NJ,39.934744,-75.024516,2349,2163,1784,-186,-565,122.0376038,44.9375,12,4,0.177800178,2287,4800,999999,359,425,385,1967,1780,1497,0.182511439,0.238764045,0.257181029
2022-05-15,1096,STR,MN,44.031846,-91.620872,232,634,816,402,584,140.4199475,67.34042553,14,7,0.081500082,381,940,999999,25,85,109,199,514,685,0.125628141,0.16536965,0.159124088
2022-05-15,1140,STR,CA,32.738795,-116.93853,1058,803,745,-255,-313,103.7301587,27.84722222,10,3,0.074400074,1260,2880,999999,160,141,129,861,640,593,0.18583043,0.2203125,0.217537943
2022-05-15,1151,STR,NJ,40.306136,-74.677047,848,1928,2322,1080,1474,199.7080292,107.0555556,20,11,0.231900232,685,1800,999999,157,456,534,651,1525,1832,0.241167435,0.299016393,0.291484716
2022-05-15,1162,STR,VA,37.299674,-79.958603,814,856,850,42,36,143.6932392,31.66666667,14,3,0.084900085,991,2700,999999,166,333,328,678,721,719,0.244837758,0.46185853,0.456189152
2022-05-15,1195,STR,NY,43.128391,-77.443196,861,769,787,-92,-74,153.4031414,28.13186813,15,3,0.078600079,764,2730,999999,263,398,403,766,692,703,0.343342037,0.575144509,0.573257468
2022-05-15,1250,STR,TN,35.751972,-83.991525,966,949,941,-17,-25,118.2002022,35.60150376,12,4,0.093900094,989,2660,999999,204,218,229,799,771,764,0.255319149,0.282749676,0.29973822
2022-05-15,1261,STR,WV,38.338227,-81.714517,531,978,1026,447,495,149.8740554,49.34343434,15,5,0.102500103,794,1980,999999,62,269,277,456,832,869,0.135964912,0.323317308,0.318757192
2022-05-15,1272,STR,MN,44.775657,-93.500873,769,726,865,-43,96,149.081803,68.30188679,15,7,0.086300086,599,1060,999999,321,476,569,646,618,734,0.496904025,0.770226537,0.77520436
